UID, Way, DiffAvg (unit: s)
1, Line, 0.000734
2, Line, 0.000926
3, Line, 0.000695
4, Dot, 0.000271
5, Dot, 0.000296
6, Dot, 0.000293
7, Dot, 0.000595
8, Line, 0.000838
9, Line, 0.001022
10, Dot, 0.000325
