UID, Way, DiffAvg (unit: s)
1, Line, 0.000894
2, Dot, 0.000336
3, Dot, 0.000232
4, Line, 0.000722
5, Dot, 0.000271
6, Line, 0.000676
7, Dot, 0.000247
8, Line, 0.000665
9, Line, 0.000641
10, Dot, 0.000280
